ArticleId,SiteId,ZoneId,Date,Quantity,Price,CostPrice,ZoneName,SiteName,ArticleName
165811,8,2,2018-07-02,4,21.9,15.75,Supermarket,Plzeňská,JČ SMETANA KE ŠL.33% 250ML
167108,7,2,2018-07-02,2,26.9,18.58,Supermarket,Pražská,GRANINI NEKT.1l HRUŠKA 50%
176139,4,1,2018-07-02,3,214.0,142.0,Hypermarket,Londýnská,"HRANOLKY B"" 1KG"""
170295,4,1,2018-07-02,4,24.5,15.78,Hypermarket,Londýnská,BERLINKI 250G
199219,5,1,2018-07-02,24,89.0,78.02,Hypermarket,Belgická,"NORDIC ICE VODKA37,5%0,5L"
169281,6,1,2018-07-02,3,21.9,15.31,Hypermarket,Vídeňská,MAGGI ASIA 118G INDIE SMAŽ.NUD
176139,6,1,2018-07-02,5,214.0,142.0,Hypermarket,Vídeňská,"HRANOLKY B"" 1KG"""
165954,5,1,2018-07-02,11,8.7,5.87,Hypermarket,Belgická,LIPÁNEK UHT MLÉKO 250ML KAK
167108,4,1,2018-07-02,2,26.9,18.58,Hypermarket,Londýnská,GRANINI NEKT.1l HRUŠKA 50%
170295,7,2,2018-07-02,1,24.5,15.78,Supermarket,Pražská,BERLINKI 250G
174022,7,2,2018-07-02,11,239.0,191.9,Supermarket,Pražská,"JÄGERMEISTER 35%  0,7L"
170069,7,2,2018-07-02,2,59.9,43.51,Supermarket,Pražská,JACOBS PORCE CAF.LATTÉ 250G
165811,4,1,2018-07-02,5,21.9,15.75,Hypermarket,Londýnská,JČ SMETANA KE ŠL.33% 250ML
200838,8,2,2018-07-02,5,95.0,81.7,Supermarket,Plzeňská,"PRAŽSKÁ VODKA 37,5%0,5L"
172551,8,2,2018-07-02,7,90.5,82.29,Supermarket,Plzeňská,"BOŽKOV SPE.KÁVOVÝ 30%0,5L"
199219,4,1,2018-07-02,14,89.0,78.02,Hypermarket,Londýnská,"NORDIC ICE VODKA37,5%0,5L"
172551,5,1,2018-07-02,12,90.5,81.84,Hypermarket,Belgická,"BOŽKOV SPE.KÁVOVÝ 30%0,5L"
170936,4,1,2018-07-02,12,39.0,30.06,Hypermarket,Londýnská,ŠPENÁTOVÝ PROTLAK 400G
174022,5,1,2018-07-02,10,239.0,190.0,Hypermarket,Belgická,"JÄGERMEISTER 35%  0,7L"
200838,4,1,2018-07-02,1,95.0,85.53,Hypermarket,Londýnská,"PRAŽSKÁ VODKA 37,5%0,5L"
